Subject,median_pupil_size_1,median_pupil_size_3,max_pupil_contraction_rate_2,median_pupil_contraction_rate_4,median_pupil_contraction_rate_8,median_pupil_dilation_rate_4,median_pupil_dilation_rate_8
20,0.1315039087859738,0.1799104302749726,-3.762016476116514e-08,-0.0006441712922462,-0.0006806065752543,0.0009470634985863,0.0010633305934742
21,0.1857360531903438,0.1561751439827582,-2.8167043808480233e-08,-0.0005191129198977,-0.0009824320637384,0.0005326140613992,0.0010809444503552
22,0.1830470988650041,0.2263613724499727,-4.1863121247320834e-08,-0.0004447743878637,-0.0009003732511662,0.0007291706150999,0.0009605847611546
23,0.2368994175636718,0.135988792647515,-8.478336921413642e-10,-0.0003688866312935,-0.0002895814519845,0.0007096454287085,0.0006310835645775
24,0.1923438820872907,0.2249303428683989,-4.8528699725380875e-08,-0.0005144213709817,-0.000614536743155,0.00071831308479,0.0007251395285867
25,0.3397946134906993,0.2293716704519353,-3.7980714351348865e-08,-0.0008752077830935,-0.0007110707494482,0.0011481004692161,0.001103067354757
26,0.1465208054223987,0.1483193193215458,-1.3483787600354624e-08,-0.0014730391319053,-0.0005435016807475,0.0012527997805356,0.0008641643512923
27,0.2895207336912944,0.1390903362186585,-1.7253514172921312e-09,-0.0004580150660466,-0.0005364507059684,0.0006697372108133,0.000744700619874
28,0.295048057025924,0.2778795208652185,-5.007387282596198e-09,-0.0012694179920217,-0.0007115409370313,0.0015161329935653,0.001105359726792
29,0.2381129083829219,0.1959679263290626,-1.3530768727676443e-09,-0.0010937400263313,-0.0010319441008771,0.0012304252672907,0.0010360370032486
30,0.0636178522222388,0.045433527403742,-4.7633483823972256e-09,-0.0006490543043214,-0.0009328593972116,0.0010512497690993,0.0012391707122538
31,0.2188398019876921,0.2234266569023749,-6.163254018254349e-09,-0.0011163759761238,-0.0005972236177826,0.0008668738964017,0.0008678879504734
32,0.0778148788047782,0.0381541718162066,-7.613778191251086e-09,-0.0004627202514274,-0.0005144824406942,0.0008842100912392,0.0008599510621317
33,0.1371948018943135,0.1457980285991945,-1.69411247252782e-08,-0.0003848779802885,-0.0004640980571471,0.0007921106531472,0.0008208838146414
34,0.2426474961068513,0.1695101241513384,-5.0699488163274964e-08,-0.001429799835149,-0.0009031250239126,0.0014040431106723,0.0013597890197468
35,0.2185069728223202,0.2566017753959768,-2.562195379474108e-08,-0.0005805376320398,-0.0008903810768795,0.0009986037655411,0.001011051797627
36,0.0624889926310872,0.0674243742851271,-1.40707734908041e-08,-0.0007760089783308,-0.0008185514969549,0.0010719622541048,0.0010144460112329
37,0.1581261681539502,0.1809272613829578,-3.30854683650017e-08,-0.0005779470874796,-0.0005692443943495,0.0007962267428244,0.0008800615950772
38,0.3002995508087423,0.3435941320465011,-7.070351790150475e-09,-0.0010962029760257,-0.0008695254046628,0.001021306716685,0.0010782171253032
39,0.2421613427619795,0.2294218476960989,-2.0380795939800574e-09,-0.00050765835353,-0.0004392215599603,0.0006080819723766,0.0008542436264694
40,0.1897835787036754,0.1845160416720161,-2.3689941501536804e-08,-0.0006135571558886,-0.0005670559721502,0.0009239251855879,0.0007773681961195
41,0.2158731127669536,0.2275851339807644,-7.560395920425123e-09,-0.0003918578744084,-0.0003735740059728,0.0006682781240016,0.0007007221138965
42,0.2266555783425691,0.1719999986963212,-1.4222739899011351e-08,-0.0007130353476001,-0.0009228220966838,0.0010336460943255,0.0009746307778774
43,0.1813634472007919,0.1417446653294156,-1.229827906179537e-09,-0.0004148165845596,-0.0004221342637353,0.0007352436937827,0.0009023915859358
44,0.1786504054090129,0.2945335368711019,-5.719661688718958e-09,-0.000934082271557,-0.0007469666575563,0.0013649121296105,0.0010517784784519
45,0.2709348957630227,0.1804091031597231,-1.1272564899751649e-08,-0.000557308031065,-0.0006746191017606,0.0005879027252899,0.0007058729925897
46,0.1301592396507344,0.2066968694211124,-3.6982609197266925e-09,-0.0006816512921843,-0.0006833442788309,0.0006899647725613,0.0007459987546704
47,0.2413159818362251,0.2444677830350822,-2.676994903527685e-09,-0.0004429669655449,-0.0004740865023987,0.0006091650651202,0.0005923198586242
48,0.062500126566095,0.1665608112136288,-1.531569593371529e-09,-0.0006275127594939,-0.0005884964578774,0.0007173366260986,0.0007870958943597
49,0.069247191953714,0.0898676202483287,-1.1465078886274682e-08,-0.0004619234622514,-0.000596345524143,0.0007961248598344,0.0008024549097818
50,0.1443624165420557,0.230717324151374,-1.204569360924168e-08,-0.000625991886115,-0.0004492492094395,0.0008236705789723,0.0008726413569221
51,0.2171784532662622,0.2141197261227858,-1.0621583002023982e-08,-0.0006922572856605,-0.0006911022918774,0.0010731297753592,0.000905722326962
53,0.1323544222240924,0.1631406583578804,-6.42589106925051e-10,-0.000313082623553,-0.000583624503869,0.0008302525748538,0.0008626686267406
54,0.0692857856214587,0.1194260310126165,-2.958780997985855e-10,-0.0005403986928741,-0.0004409037421022,0.0007424033111516,0.0006244356517197
55,0.1547072481253598,0.0957365628699775,-5.802217040162816e-10,-0.0003736977851948,-0.0003618928945851,0.0006554113816082,0.0005400594385312
56,0.1598881048351499,0.1460299505697819,-3.6502292299900323e-09,-0.0004173944167064,-0.0004696270052675,0.0007493419810751,0.0007690886681912
57,0.2439639889361819,0.1857177393364559,-2.1028698005132185e-08,-0.0004455340688091,-0.0006319677523966,0.0008616499921205,0.0010895989211833
58,0.0955162896076053,0.1425456777434364,-1.4903880400651826e-08,-0.0006228979467862,-0.0006708899185278,0.0008757818300751,0.0010593850090501
59,0.0766791577380212,0.1419858852394267,-4.615642201777348e-09,-0.0005346398434803,-0.0004467612320378,0.0007876262404217,0.0007133880353348
60,0.1394843321389204,0.1530389339738962,-2.0699788438882652e-08,-0.0005084699737223,-0.0005466273897748,0.0006184436792537,0.0006297866415079
61,0.1307486213421293,0.0655874164080188,-1.0926116900122906e-08,-0.0006994005560634,-0.0003701806937931,0.0009744367566141,0.0008935880160546
62,0.177402339311987,-0.1309985205237487,-2.494655815254987e-09,-0.0006507136873311,-0.0005502718904263,0.0005994893213839,0.0008176838760282
63,0.1574106954723349,0.1468081629750815,-2.4080045291086097e-08,-0.000522479748584,-0.000414807860134,0.0005763255899984,0.0006034056307669
64,0.2039482416256047,0.211852679132894,-3.739008835879076e-08,-0.0006602000232032,-0.0008851131608434,0.0009164985801568,0.000764912099654
65,0.0908587751347198,0.1586363784373274,-9.706765169426036e-09,-0.0004575267962278,-0.0005252834641027,0.0006930540212957,0.0008675971762758
66,0.2213279845115242,0.2042775359208219,-2.0245618292946688e-08,-0.0008937050823176,-0.0006808311372874,0.0010789425884322,0.0009745909275256
67,0.1291799163864419,0.1388963423817985,-8.660270889304655e-09,-0.0005346503142541,-0.0005713477494368,0.0008153088604743,0.0008600418393184
