Feature,Comparison Type,Level A,Level B,T-Value,Degrees of Freedom,Corrected p-value,Effect Size (Hedges' g),Bayes Factor (BF10)
final_high_load_correct,Block * Subject_Type,0,1,-3.148171287550105,48.364138235481946,0.0225083169111941,-0.7657912168644753,14.43
final_high_load_correct,Block * Subject_Type,0,1,-3.2108371651529106,42.70112616403576,0.0201240272796885,-0.8187726680685304,16.828
final_high_load_incorrect,Block,1,4,4.463061608236988,66.0,0.0009036652057064,0.6924749434602911,598.018
final_high_load_incorrect,Block,1,6,-5.011376578985152,66.0,0.000120428633837,-0.8131642344384623,3909.098
final_high_load_incorrect,Block,1,7,4.367185585436113,66.0,0.0012718584735381,0.6446572081664509,435.792
final_high_load_incorrect,Block,2,4,5.410539240934602,66.0,2.626267570397332e-05,0.7832530922080859,16320.0
final_high_load_incorrect,Block,2,6,-4.847224875992775,66.0,0.0002224135211301,-0.7690603949629261,2203.289
final_high_load_incorrect,Block,2,7,4.349658219586791,66.0,0.0013533537760602,0.7283160426742545,411.466
final_high_load_incorrect,Block,3,4,7.327183947292054,66.0,1.1845651503659768e-08,0.961284941510836,24650000.0
final_high_load_incorrect,Block,3,6,-3.366005357615816,66.0,0.0357009302404568,-0.5033325925773479,20.726
final_high_load_incorrect,Block,3,7,6.222204770471907,66.0,1.0665733684324203e-06,0.9086523134558564,337400.0
final_high_load_incorrect,Block,4,5,-3.728228146212544,66.0,0.0112729649179577,-0.52967140738755,58.797
final_high_load_incorrect,Block,4,6,-9.119087195420557,66.0,7.486123236394518e-12,-1.4001331493221223,29430000000.0
final_high_load_incorrect,Block,4,8,-5.19441244106461,66.0,6.0213338732923114e-05,-0.7589530982490296,7484.627
final_high_load_incorrect,Block,5,6,-5.821324356096579,66.0,5.2695912229792294e-06,-0.9041050940468665,74280.0
final_high_load_incorrect,Block,5,7,3.5990031038551504,66.0,0.0171370790259839,0.4928376526058929,40.195
final_high_load_incorrect,Block,6,7,8.609890494954058,66.0,6.023290191524086e-11,1.3430364195213906,3938000000.0
final_high_load_incorrect,Block,6,8,4.536953420917412,66.0,0.0006928044718977,0.6903718076557707,765.149
final_high_load_incorrect,Block,7,8,-4.753869960756402,66.0,0.0003141092255816,-0.71337418953067,1596.809
final_high_load_incorrect,Block * Subject_Type,0,1,3.702627781859466,50.6568020974116,0.0042188914892377,0.8848890711528906,61.081
final_high_load_incorrect,Block * Subject_Type,0,1,3.134844324245393,53.88099648767539,0.0222607507973572,0.7312430620334394,13.97
