Contrast,Block,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges,Feature
Block,-,1,8,True,True,-2.6452140425269812,65.0,two-sided,0.010226138123060282,0.2863318674456879,bonf,3.312,-0.42236212673486445,mean_pupil_contraction_rate
Block,-,2,3,True,True,-0.7681106133769543,65.0,two-sided,0.4452030992506717,1.0,bonf,0.179,-0.11837594831097237,mean_pupil_contraction_rate
Block,-,2,4,True,True,-1.4764722894584192,65.0,two-sided,0.14464567257767375,1.0,bonf,0.379,-0.2475501983888099,mean_pupil_contraction_rate
Block,-,2,5,True,True,-0.2502011173905796,65.0,two-sided,0.8032209381229093,1.0,bonf,0.139,-0.03933845694879105,mean_pupil_contraction_rate
Block,-,2,6,True,True,0.775416029652914,65.0,two-sided,0.4409058982642452,1.0,bonf,0.18,0.1300663202128081,mean_pupil_contraction_rate
Block,-,2,7,True,True,1.071881500760061,65.0,two-sided,0.28773696733241716,1.0,bonf,0.234,0.15670350688193133,mean_pupil_contraction_rate
Block,-,2,8,True,True,-0.545021748014185,65.0,two-sided,0.587603828703735,1.0,bonf,0.156,-0.09724714011928572,mean_pupil_contraction_rate
Block,-,3,4,True,True,-1.0108911891488983,65.0,two-sided,0.31581684632013646,1.0,bonf,0.22,-0.15328081671840557,mean_pupil_contraction_rate
Block,-,3,5,True,True,0.48441081420506577,65.0,two-sided,0.6297226577390802,1.0,bonf,0.151,0.07849141456946386,mean_pupil_contraction_rate
Block,-,3,6,True,True,1.878496019532998,65.0,two-sided,0.06479932562473331,1.0,bonf,0.705,0.2680878307062048,mean_pupil_contraction_rate
Block,-,3,7,True,True,1.8616500934088656,65.0,two-sided,0.06717463525640345,1.0,bonf,0.685,0.30359843186770574,mean_pupil_contraction_rate
Block,-,3,8,True,True,0.15740440351205806,65.0,two-sided,0.8754140829556021,1.0,bonf,0.137,0.02918581755201539,mean_pupil_contraction_rate
Block,-,4,5,True,True,1.324933224430395,65.0,two-sided,0.18983229385952258,1.0,bonf,0.311,0.21303662012765598,mean_pupil_contraction_rate
Block,-,4,6,True,True,2.654036015372713,65.0,two-sided,0.009988493163077034,0.2796778085661569,bonf,3.38,0.403366427620354,mean_pupil_contraction_rate
Block,-,4,7,True,True,2.855561279964622,65.0,two-sided,0.0057609565461345085,0.16130678329176623,bonf,5.459,0.44503138773451817,mean_pupil_contraction_rate
Block,-,4,8,True,True,1.1572807570771715,65.0,two-sided,0.2513928272931415,1.0,bonf,0.255,0.19015938308932046,mean_pupil_contraction_rate
Block,-,5,6,True,True,1.2771537819911454,65.0,two-sided,0.20609131269474695,1.0,bonf,0.293,0.17428301749089015,mean_pupil_contraction_rate
Block,-,5,7,True,True,1.4408916149400797,65.0,two-sided,0.15441536949566123,1.0,bonf,0.361,0.2031450652298392,mean_pupil_contraction_rate
Block,-,5,8,True,True,-0.31467519011844686,65.0,two-sided,0.7540161782913555,1.0,bonf,0.142,-0.05539546055655818,mean_pupil_contraction_rate
Block,-,6,7,True,True,0.17220745790409978,65.0,two-sided,0.8638094938686331,1.0,bonf,0.137,0.023738754004126245,mean_pupil_contraction_rate
Block,-,6,8,True,True,-1.403198417877307,65.0,two-sided,0.16531674096885154,1.0,bonf,0.343,-0.2504421505265489,mean_pupil_contraction_rate
Block,-,7,8,True,True,-1.947751089576517,65.0,two-sided,0.055766015237638196,1.0,bonf,0.796,-0.28649389915602697,mean_pupil_contraction_rate
Subject_Type,-,0,1,False,True,-0.9354472024657461,57.65734001233133,two-sided,0.35345943101334987,,,0.385,-0.20895386817617498,mean_pupil_contraction_rate
Block * Subject_Type,1,0,1,False,True,-0.003775013769258764,50.247332220063804,two-sided,0.9970029298496876,1.0,bonf,0.267,-0.0008940978158811957,mean_pupil_contraction_rate
Block * Subject_Type,2,0,1,False,True,-0.6698240749984651,59.37949715283657,two-sided,0.5055664468145296,1.0,bonf,0.323,-0.14739478706128087,mean_pupil_contraction_rate
Block * Subject_Type,3,0,1,False,True,-1.5393603451990874,54.25453603388925,two-sided,0.12952885525556196,1.0,bonf,0.714,-0.35337870849954806,mean_pupil_contraction_rate
Block * Subject_Type,4,0,1,False,True,-0.8875993022248724,46.18774710358107,two-sided,0.3793552095165902,1.0,bonf,0.371,-0.21723447281996944,mean_pupil_contraction_rate
